1621,"""Focussing on rural infrastructure development,@arunjaitley announces free power connections to 4 crore homes under #Saubhagya Yojana in #Budget2018"""
1622,"""Davos forgotten, Modi is turning ‘Make in India’ into ‘Protect in India’ https://blogs.timesofindia.indiatimes.com/Swaminomics/davos-forgotten-modi-is-turning-make-in-india-into-protect-in-india/ … #budget2018"""
1623,"""@ncbn netizens of Andhra responded for #Budget2018 with 1/5 rating for @BJP4India facebook page. its the turn of your MPs & you, quit as Ministers or come out of NDA. #SpecialStatus #SpecialStatusForAP #VizagRailwayZone"""
1624,"""@BJP4India leaders are lying at interviews, press conferences, public speeches, international seminar and meeting, Vidhan sabha, Lok sabha, Rajya sabha and any everywhere else. #Budget2018"""
1625,"""#Budget2018 reintroduced a much needed #LTCG which will help govt get more money to fund its plans. No need to sell #equity in panic. It will be still a best option to create #wealth"""
1626,"""President got more than 3 fold increment in salary,(1.5 to 5 L/month) What about employees? Kuch to socho #FinanceMinister #Budget2018 #BudgetVerdict"""
1627,"""Union Budget 2018 Fails Farmers, Rivers & Environment http://reporteratlarge.org/union-budget-2018-fails-farmers-rivers-environment/ … via @atlargereporter #UnionBudget2018 #budget18 #Budget2018"""
1628,"""After reading this thread, I have realised that we have a much better healthcare system in India compared to many developed nations. And hope that with the new announcements in #Budget2018 we will reach every section of the society."""
1629,"""The #Budget2018 ignores the needs of the backbone of India’s healthcare system: the Accredited Social Health Activists (ASHAs) @Yasminfarooqui1 @SdpiRajOfficial #JagoRajasthanWithSDPI """
1630,"""Analysis: #Government set to borrow nearly $1 trillion this year, an 84 percent jump from last year | #GovernmentShutdown #TaxCuts #TaxScam #TaxScamBill #Budget2018 #Budget 2018 #BUDGET2018_Positives"""
1631,"""“Health is the real wealth of a nation” #Ghandi. Our healthcare analysis of the latest budget in #India applauds the move to universal care & clarifies the size - and the prize - of achieving it. “Healthcare the Neglected GDP Driver” #Modicare #Budget2018 """
1632,"""Going great @arunjaitley ji ... justifiable answer in #AapKiAdalat .. https://www.youtube.com/watch?v=VfIBzy_mAX0 … … ....proud to have such a enlightened Finance minister ...Keep taking decision in favor of country ....opposition party ka to kaam hi hai oppose krna . #Budget2018"""
1633,"""If nothing else, the time for politics of #govermentshutdown as a means to extract distasteful concessions seems to have passed. #Budget2018 #PoliticsToday"""
1634,"""Collecting taxes and allocating them is a play game for the benefit of #politicalparties and every political party plays a safe game when it comes to their turn... #Budget2018... #BudgetneglectsAP&TG.... #APDemandsSpecialStatus"""
1635,"""Union #Budget2018 - I think it's best to become poor and old at the earliest in this country !"""
